0	0	 0
8	0	 0
16	.000001	 .000001
24	.000002	 .000002
32	.000004	 .000003
40	.000005	 .000005
48	.000008	 .000007
56	.000010	 .000009
64	.000014	 .000012
72	.000016	 .000016
80	.000020	 .000019
88	.000023	 .000022
96	.000027	 .000026
104	.000033	 .000030
112	.000037	 .000037
120	.000044	 .000044
128	.000052	 .000051
136	.000058	 .000056
144	.000061	 .000060
152	.000071	 .000071
160	.000076	 .000075
168	.000087	 .000083
176	.000098	 .000091
184	.000109	 .000100
192	.000124	 .000109
200	.000124	 .000117
208	.000137	 .000126
216	.000145	 .000136
224	.000157	 .000149
232	.000170	 .000158
240	.000182	 .000179
248	.000199	 .000183
256	.000239	 .000194
264	.000228	 .000219
272	.000254	 .000225
280	.000266	 .000236
288	.000274	 .000245
296	.000301	 .000264
304	.000304	 .000281
312	.000331	 .000300
320	.000350	 .000309
328	.000359	 .000323
336	.000400	 .000360
344	.000425	 .000363
352	.000427	 .000391
360	.000438	 .000413
368	.000451	 .000429
376	.000485	 .000433
384	.000552	 .000449
392	.000550	 .000476
400	.000553	 .000491
408	.000565	 .000510
416	.000632	 .000527
424	.000633	 .000551
432	.000686	 .000563
440	.000714	 .000597
448	.000713	 .000605
456	.000739	 .000684
464	.000803	 .000677
472	.000804	 .000665
480	.000966	 .000723
488	.000922	 .000768
496	.000926	 .000751
504	.000961	 .000774
512	.001139	 .000815
520	.000977	 .000835
528	.001073	 .000855
536	.001147	 .000881
544	.001160	 .000918
552	.001145	 .000951
560	.001139	 .000970
568	.001194	 .001032
576	.001374	 .001035
584	.001359	 .001094
592	.001295	 .001047
600	.001394	 .001085
608	.001523	 .001095
616	.001522	 .001197
624	.001467	 .001263
632	.001613	 .001235
640	.001813	 .001291
648	.001756	 .001353
656	.001812	 .001394
664	.001766	 .001413
672	.001793	 .001462
680	.001845	 .001498
688	.001823	 .001449
696	.001964	 .001560
704	.002223	 .001526
712	.002041	 .001585
720	.001963	 .001637
728	.001992	 .001571
736	.002165	 .001604
744	.002373	 .001802
752	.002374	 .001701
760	.002422	 .001857
768	.002723	 .001829
776	.002493	 .001841
784	.002490	 .001807
792	.002556	 .001895
800	.002651	 .001902
808	.002562	 .001975
816	.002609	 .001986
824	.002715	 .002138
832	.002792	 .002010
840	.002681	 .002257
848	.002866	 .002231
856	.002986	 .002299
864	.003289	 .002286
872	.003096	 .002287
880	.003067	 .002308
888	.003179	 .002390
896	.003465	 .002390
904	.003389	 .002540
912	.003494	 .002493
920	.003552	 .002577
928	.003644	 .002462
936	.003657	 .002711
944	.003798	 .002702
952	.003820	 .002840
960	.004118	 .002879
968	.003908	 .002849
976	.004022	 .002888
984	.004168	 .003167
992	.004481	 .003064
1000	.004385	 .002949
1008	.004357	 .003147
1016	.005267	 .003011
1024	.009586	 .003163
1032	.005862	 .003158
1040	.004690	 .003274
1048	.004902	 .003324
1056	.004943	 .003286
1064	.004946	 .003497
1072	.004930	 .003318
1080	.004909	 .003473
1088	.005005	 .003490
1096	.005100	 .003547
1104	.005384	 .003713
1112	.005428	 .003815
1120	.005776	 .003684
1128	.005512	 .003706
1136	.005737	 .003707
1144	.005507	 .003832
1152	.006031	 .003901
1160	.005729	 .004063
1168	.005885	 .004064
1176	.005901	 .004079
1184	.006163	 .004131
1192	.006038	 .004137
1200	.006409	 .004289
1208	.006223	 .004269
1216	.006580	 .004454
1224	.006701	 .004447
1232	.006707	 .004390
1240	.006657	 .004494
1248	.007203	 .004573
1256	.006696	 .004781
1264	.007176	 .004789
1272	.007142	 .004888
1280	.008625	 .004764
1288	.007512	 .004861
1296	.007686	 .004887
1304	.007387	 .004995
1312	.007683	 .005063
1320	.007946	 .005202
1328	.008357	 .005403
1336	.007903	 .005296
1344	.008029	 .005513
1352	.007942	 .005429
1360	.008223	 .005406
1368	.008181	 .005390
1376	.009680	 .005622
1384	.009110	 .005642
1392	.009099	 .005785
1400	.008799	 .005810
1408	.009592	 .005772
1416	.009193	 .005715
1424	.009271	 .005879
1432	.009150	 .005922
1440	.009883	 .005898
1448	.009681	 .006036
1456	.010370	 .006233
1464	.010089	 .006320
1472	.010857	 .006547
1480	.010665	 .006415
1488	.010784	 .006373
1496	.010669	 .006408
1504	.011058	 .006528
1512	.011166	 .006467
